order_id,order_line_id,customer_id,product_id,store_id,channel,order_date,quantity,unit_price,discount_pct,campaign_id,line_revenue,line_cost
O10001,L0001,C000101,P0002,ONLINE,Online,2025-08-04,1,32.0,0.0,CMP014,32.0,12.8
O10001,L0002,C000101,P0004,ONLINE,Online,2025-08-04,2,24.0,0.0,CMP014,48.0,16.8
O10002,L0003,C000102,P0001,S01,Store,2025-09-16,1,48.0,0.0,,48.0,19.2
O10003,L0004,C000103,P0003,S09,Store,2025-10-02,1,88.0,0.0,,88.0,39.6
O10003,L0005,C000103,P0006,S09,Store,2025-10-02,1,84.0,0.0,,84.0,37.8
O10003,L0006,C000103,P0005,S09,Store,2025-10-02,1,76.0,0.0,,76.0,34.2
O10004,L0007,C000105,P0002,ONLINE,App,2025-11-08,3,32.0,0.25,CMP021,72.0,38.4
O10005,L0008,C000101,P0001,ONLINE,App,2025-11-29,1,48.0,0.25,CMP021,36.0,19.2
O10006,L0009,C000104,P0006,S09,Store,2025-12-06,2,84.0,0.0,,168.0,75.6
O10006,L0010,C000104,P0004,S09,Store,2025-12-06,1,24.0,0.0,,24.0,8.4
O10007,L0011,C000106,P0003,S12,Store,2025-12-13,1,88.0,0.0,,88.0,39.6
O10007,L0012,C000106,P0005,S12,Store,2025-12-13,1,76.0,0.0,,76.0,34.2
O10008,L0013,C000102,P0002,ONLINE,Online,2026-01-17,2,32.0,0.0,CMP033,64.0,25.6
O10009,L0014,C000107,P0004,ONLINE,Online,2026-02-07,1,24.0,0.5,CMP041,12.0,8.4
O10010,L0015,C000101,P0005,S01,Store,2026-03-21,1,76.0,0.0,,76.0,34.2
O10010,L0016,C000101,P0002,S01,Store,2026-03-21,1,32.0,0.0,,32.0,12.8
O10011,L0017,C000105,P0001,ONLINE,App,2026-04-11,2,48.0,0.0,CMP033,96.0,38.4
O10011,L0018,C000105,P0003,ONLINE,App,2026-04-11,1,88.0,0.0,CMP033,88.0,39.6
O10012,L0019,C000108,P0002,ONLINE,Online,2026-06-18,1,32.0,0.0,CMP041,32.0,12.8
O10012,L0020,C000108,P0004,ONLINE,Online,2026-06-18,3,24.0,0.0,CMP041,72.0,25.2
