order_line_id,order_id,customer_id,product_id,store_id,channel,order_date,quantity,unit_price,discount_pct,line_revenue
L00001,O10003,C0002,P1041,S07,Store,2026-03-04,1,88.00,0.00,88.00
L00002,O10003,C0002,P1052,S07,Store,2026-03-04,2,42.00,0.00,84.00
L00003,O10003,C0002,P1063,S07,Store,2026-03-04,1,76.00,0.00,76.00
L00004,O10008,C0005,P1044,S07,Store,2026-04-18,2,48.00,0.00,96.00
L00005,O10008,C0005,P1047,S07,Store,2026-04-18,2,48.00,0.00,96.00
L00006,O10001,C0001,P1010,S02,Store,2026-02-11,1,78.00,0.00,78.00
L00007,O10004,C0003,P1011,S02,Store,2026-03-09,1,78.00,0.00,78.00
L00008,O10009,C0006,P1012,S02,Store,2026-04-25,1,78.00,0.00,78.00
L00009,O10011,C0001,P1020,S02,Store,2026-05-14,1,30.00,0.00,30.00
L00010,O10011,C0001,P1021,S02,Store,2026-05-14,2,24.00,0.00,48.00
L00011,O10002,C0002,P1030,ONLINE,Online,2026-02-20,2,45.00,0.00,90.00
L00012,O10005,C0004,P1031,ONLINE,Online,2026-03-15,1,85.00,0.00,85.00
L00013,O10006,C0004,P1032,ONLINE,Online,2026-03-27,2,30.00,0.00,60.00
L00014,O10006,C0004,P1033,ONLINE,Online,2026-03-27,1,55.00,0.00,55.00
L00015,O10007,C0007,P1034,ONLINE,Online,2026-04-02,2,36.00,0.00,72.00
L00016,O10007,C0007,P1035,ONLINE,Online,2026-04-02,1,28.00,0.00,28.00
L00017,O10010,C0008,P1036,ONLINE,Online,2026-05-06,1,45.00,0.00,45.00
L00018,O10010,C0008,P1037,ONLINE,Online,2026-05-06,2,32.00,0.00,64.00
L00019,O10012,C0003,P1038,ONLINE,Online,2026-06-01,1,37.00,0.00,37.00
L00020,O10012,C0003,P1039,ONLINE,Online,2026-06-01,1,24.00,0.00,24.00
