order_id,order_line_id,customer_id,product_id,store_id,channel,order_date,quantity,unit_price,discount_pct,campaign_id,line_revenue,unit_cost,line_cost
O10001,L0001,C001,P0104,S01,Store,2026-01-14,1,54.0,0.0,,54.0,27.0,27.0
O10001,L0002,C001,P0117,S01,Store,2026-01-14,1,42.0,0.0,,42.0,21.0,21.0
O10002,L0003,C003,P0121,ONLINE,Online,2026-01-22,2,45.0,0.0,CMP014,90.0,22.5,45.0
O10002,L0004,C003,P0133,ONLINE,Online,2026-01-22,1,36.0,0.25,CMP014,27.0,18.0,18.0
O10003,L0005,C002,P0201,S07,Store,2026-02-07,1,88.0,0.0,,88.0,44.0,44.0
O10003,L0006,C002,P0203,S07,Store,2026-02-07,1,84.0,0.0,,84.0,42.0,42.0
O10003,L0007,C002,P0142,S07,Store,2026-02-07,1,76.0,0.0,,76.0,38.0,38.0
O10004,L0008,C004,P0129,ONLINE,Online,2026-02-19,2,42.0,0.0,CMP014,84.0,21.0,42.0
O10005,L0009,C001,P0118,S02,Store,2026-03-03,2,39.0,0.0,,78.0,19.5,39.0
O10006,L0010,C005,P0205,ONLINE,Online,2026-03-11,1,65.0,0.2,CMP021,52.0,32.5,32.5
O10006,L0011,C005,P0151,ONLINE,Online,2026-03-11,1,24.0,0.0,CMP021,24.0,12.0,12.0
O10007,L0012,C002,P0207,S07,Store,2026-03-28,1,90.0,0.0,,90.0,45.0,45.0
O10007,L0013,C002,P0136,S07,Store,2026-03-28,1,62.0,0.0,,62.0,31.0,31.0
O10007,L0014,C002,P0148,S07,Store,2026-03-28,1,40.0,0.0,,40.0,20.0,20.0
O10008,L0015,C006,P0125,ONLINE,Online,2026-04-09,2,34.0,0.0,,68.0,17.0,34.0
O10009,L0016,C001,P0160,S01,Store,2026-04-25,2,30.0,0.0,,60.0,15.0,30.0
O10010,L0017,C003,P0209,ONLINE,Online,2026-05-06,1,80.0,0.2,CMP021,64.0,40.0,40.0
O10010,L0018,C003,P0113,ONLINE,Online,2026-05-06,1,48.0,0.0,CMP021,48.0,24.0,24.0
O10011,L0019,C007,P0127,ONLINE,Online,2026-05-18,2,44.0,0.0,,88.0,22.0,44.0
O10012,L0020,C008,P0131,ONLINE,Online,2026-06-02,3,31.0,0.0,CMP014,93.0,15.5,46.5
