Respondent	Age	Regularly Consume Crispy Spuds?	Crispiness	Saltiness	Sweetness	Flavor	Texture	Value	Overall
1	66	No	9	10	9	3	7	5	9
2	22	No	9	4	3	10	8	10	7
3	22	No	10	5	1	4	9	5	5
4	29	No	10	9	9	2	8	4	9
5	73	Yes	10	10	5	3	6	3	7
6	66	Yes	10	2	5	7	2	10	6
7	40	No	7	10	10	5	8	1	7
8	61	No	9	9	10	8	8	6	8
9	68	No	1	4	2	9	9	10	5
10	60	No	9	7	2	8	8	10	7
11	76	No	8	6	6	3	8	7	5
12	61	Yes	10	10	10	8	9	2	8
13	35	Yes	6	6	7	8	2	8	8
14	70	Yes	7	10	2	7	5	6	7
15	74	No	10	10	10	1	5	2	6
16	28	No	9	8	10	7	8	3	8
17	44	No	6	4	8	1	4	9	7
18	43	No	3	8	9	10	8	9	9
19	72	No	9	8	8	10	8	6	8
20	74	Yes	2	10	9	10	1	6	7
21	32	No	3	9	8	7	8	2	6
22	44	No	8	9	10	2	7	9	8
23	58	No	9	5	10	10	4	10	8
24	65	Yes	9	6	3	6	8	6	7
25	33	No	10	10	10	10	9	9	8
26	37	No	10	1	7	9	2	5	7
27	78	Yes	10	8	6	10	5	10	9
28	24	No	9	9	3	2	6	10	7
29	77	No	6	4	4	1	1	10	4
30	24	No	3	5	10	9	8	10	8
31	57	Yes	6	10	8	5	3	7	5
32	63	No	2	10	4	4	10	10	5
33	59	No	6	6	4	10	8	5	7
34	46	Yes	7	9	7	8	1	3	3
35	69	No	5	1	4	8	8	1	4
36	72	Yes	9	6	10	10	8	10	8
37	70	Yes	6	8	9	8	3	9	7
38	43	Yes	10	9	10	10	10	8	9
39	66	Yes	9	8	10	5	7	9	9
40	38	No	7	9	8	6	10	8	7
41	57	No	6	8	8	10	10	9	7
42	47	No	8	10	8	9	10	5	8
43	44	No	7	10	7	4	1	10	7
44	47	Yes	8	10	9	9	4	10	8
45	48	No	9	10	2	3	10	10	6
46	25	No	1	6	10	7	6	9	7
47	58		2	8	1	9	10	7	6
48	68	No	3	9	5	5	10	1	6
49	68	No	9	10	9	3	10	10	9
50	45	No	5	9	10	9	9	10	10
51	63	Yes	8	6	7	5	9	5	8
52	47	Yes	7	5	1	2	9	8	8
53	18	No	9	9	7	6	10	6	6
54	56	No	5	2	8	9	4	7	6
55	20	Yes	5	2	7	7	8	4	5
56	74	No	10	10	2	10	3	6	5
57	40	No	7	10	3	10	10	8	8
58	40	No	10	3	7	6	10	10	8
59	28	No	9	9	3	7	8	10	7
60	41	No	8	9	6	5	1	9	9
61	57	No	3	2	6	10	10	9	7
62	25	No	8	8	2	4	10	8	5
63	34	No	9	6	9	10	9	9	7
64	21	No	2	8	6	6	6	2	6
65	48	No	10	7	7	10	9	7	7
66	18	Yes	3	6	5	4	2	9	8
67	64	No	8	2	10	6	4	9	8
68	35	No	5	10	6	8	9	3	8
69	75	Yes	7	9	10	8	5	1	8
70	42	No	9	10	9	9	7	2	8
71	48	No	9	10	8	10	10	10	10
72	60	No	9	5	6	7	5	6	8
73	61	No	3	3	7	10	10	3	7
74	71	No	10		3	8	8	10	4
75	18	No	4	5	10	10	6	9	8
76	73	Yes	10	9	7	4	9	9	7
77	66	Yes	2	6	4	8	9	4	7
78	67	No	6	9	9	9	10	4	7
79	33	Yes	1	1	6	7	8	3	4
80	19	No	10	10	5	10	9	7	8
81	56	No	10	4	10	9	7	3	6
82	24	Yes	9	6	10	10	9	8	9
83	64	No	10	5	8	5	3	6	6
84	45	No	2	6	3	2	9	3	5
85	42	No	9	5	10	10	8	1	7
86	59	No	9	7	10	4	9	3	6
87	32	No	7	4	8	9	8	4	5
88	42	Yes	8	6	2	1	2	8	4
89	59	No	9	4	4	2	5	10	5
90	68	Yes	10	9	4	5	9	4	7
91	52	No	9	5	4	8	9	10	8
92	19	No	5	10	9	9	4	7	8
93	52	No	9	10	10	8	9	4	10
