Respondent	Age	Regularly Consume Crispy Spuds?	Crispiness	Saltiness	Sweetness	Flavor	Texture	Value	Overall
1	51	No	7	10	10	10	7	9	9
2	32	Yes	9	9	6	4	10	6	9
3	49	Yes	7	3	8	5	8	4	8
4	34	No	8	10	5	8	9	2	7
5	32	No	8	10	8	2	7	2	5
6	25	No	3	10	4	2	10	5	5
7	39	Yes	4	9	9	8	10	3	7
8	45	Yes	4	10	10	6	10	5	9
9	23	No	10	10	8	3	7	8	8
10	57	No	9	10	8	9	7	9	10
11	29	No	10	8	10	4	10	10	10
12	64	Yes	2	7	10	6	8	5	6
13	22	No	10	5	8	7	6	9	6
14	31	Yes	10	2	3	10	10	10	7
15	40	No	10	6	10	2	10	8	7
16	21	Yes	5	10	8	6	2	9	7
17	66	No	8	7	7	8	6	10	7
18	30	Yes	4	6		7	2	1	5
19	50	Yes	10	10	6	5	3	8	6
20	55	Yes	9	8	10	7	10	3	6
21	72	No	8	8	2	3	4	8	7
22	30	Yes	8	9	5	7	5	9	9
23	52	Yes	3	2	3	8	8	8	5
24	49	Yes	10	10	1	9	10	2	5
25	67	No	7	8	8	8	10	9	7
26	33	Yes	5	4	10	2	4	8	6
27	35	No	6	10	2	10	3	9	5
28	19	No	1	3	4	10	10	10	6
29	42	No	10	6	7	9	4	10	8
30	71	Yes	3	10	10	4	6	8	5
31	67	No	10	4	10	4	7	10	7
32	58	No	5	10	8	10	9	8	6
33	30	No	9	10	1	9	9	10	8
34	28	No	4	7	8	8	6	9	5
35	19	No	3	8	4	9	10	10	8
36	73	Yes	9	10	3	8	6	9	8
37	37	Yes	10	9	9	8	8	6	7
38	76	Yes	8	2	10	10	7	9	8
39	37	No	8	9	5	5	5	4	5
40	21	No	1	6	5	3	10	1	3
41	32	No	7	10	10	6	9	9	7
42	67	No	3	3	3	10	4	6	4
43	75	Yes	6	2	9	4	9	10	8
44	45	No	3	8	2	6	6	4	6
45	57	No	9	7	10	9	10	10	6
46	77	No	7	10	10	6	2	4	5
47	73	No	4	9	7	9	3	9	5
48	24	No	9	7	5	7	2	10	6
49	63	No	9	7	6	9	10	3	8
50	39	No	9	8	5	8	7	10	7
51	28	No	7	6	6	5	7	8	7
52	29	No	5	3	2	9	9	5	5
53	42	No	9	10	5	1	7	5	5
54	72	No	4	9	10	10	8	6	10
55	48	No	9	6	3	10	2	10	6
56	56	No	10	10	2	8	2	9	6
57	47	No	10	9	9	9	4	10	8
58	19	No	6	9	9	10	1	5	7
59	69	No	9	9	8	8	10	7	7
60	76	No	6	3	4	8	4	2	3
61	30	Yes	4	8	10	10	9	10	6
62	45	No	10	6	9	9	9	10	8
63	39	No	3	9	9	10	9	10	7
64	24	Yes	6	3	10	9	10	4	5
65	18	No	10	10	4	3	8	10	9
66	75	No	9	2	4	4	10	8	5
67	66	No	9	10	7	6	4	7	7
68	57	No	9	2	7	7	1	9	5
69	65	No	3	7	4	10	8	9	7
70	20	No	7	9	6	10	7	10	8
71	60	No	5	4	10	10	1	8	5
72	76	No	4	7	9	9	6	10	8
73	19	No	7	6	2	9	10	5	5
74	37	Yes	8	9	9	6	9	9	8
75	18	Yes	8	7	7	10	9	8	8
76	57	No	10	10	9	9	9	8	9
77	65	Yes	10	8	5	10	4	10	7
78	39	No	2	9	7	1	10	10	9
79	52	No	10	9	10	5	5	6	7
80	66	No	10	3	5	10	7	5	8
81	24	Yes	4	6	8	7	2	7	7
82	60	No	10	5	9	6	2	3	6
83	26	No	9	10	9	10	5	5	9
84	62	No	7	6	10	10	7	6	7
85	72	No	10	7	10	9	4	10	7
86	31	Yes	4	7	9	7	8	10	7
87	43	No	10	4	9	5	9	8	8
88	66	Yes	9	4	7	8	10	9	8
89	43	No	9	9	9	6	9	10	7
90	63	Yes	10	7	8	8	10	3	8
91	68	Yes	7	9	9	10	8	6	8
92	52	No	10	8	1	4	2	10	4
93	23	No	10	4	9	9	9	7	9
94	25	No	1	8	9	10	10	10	7
95	22	No	6	9	7	10	8	10	9
96	48	Yes	8	2	5	8	6	7	7
97	41	No	7	5	8	10	10	5	5
98	48	No	5	4	7	5	5	5	4
99	26	Yes	8	7	9	10	10	7	6
100	49	No	4	2	6	9	8	10	8
101	49	No	9	10	8	3	5	9	8
102	40	Yes	8	9	8	8	9	10	10
103	27	Yes	6	10	8	9	6	10	8
104	66	No	7	10	10	8	7	10	8
105	63	Yes	3	3	3	4	8	9	4
106	58	No	1	9	7	8	9	7	9
107	31	Yes	6	2	2	9	7	2	7
108	76	No	8	10	5	9	3	10	8
109	27	No	10	9	5	8	7	10	7
110	65	No	3	5	4	5	3	6	4
111	35	Yes	1	7	9	10	8	1	7
112	40	Yes	6	2	5	10	10	8	8
113	37	No	10	10	10	7	8	10	8
114	52	Yes	9	7	9	7	7	5	6
115	64	No	9	3	10	10	10	6	9
116	23	No	6	10	9	6	4	9	10
117	35	Yes	9	5	9	9	9	10	9
118	75	No	10	9	10	9	9	10	10
119	57	No	10	9	10	2	5	4	5
120	38	No	9	2	7	10	2	9	8
121	70	Yes	9	4	8	1	3	6	5
122	48	Yes	10	10	5	9	10	1	7
123	26	No	5	8	4	10	2	10	4
124	30	No	7	7	5	10	9	5	8
125	78	No	9	4	10	8	3	6	4
126	66	No	9	6	8	1	6	4	8
127	67	No	10	10	3	4	5	3	6
128	22	No	5	9	10	9	7	10	8
129	27	No	8	4	8	8	5	8	5
130	63	No	10	4	6	4	9	8	9
131	65	No	10	1	6	9	6	10	8
132	20	No	9	4	6	3	10	8	8
133	26	Yes	2	4	3	10	9	5	7
134	52	No	1	2	8	7	3	9	4
135	26	No	10	2	9	2	10	7	6
136	63	No	9	10	2	10	7	7	9
137	28	No	3	7	5	7	4	5	3
138	69	No	2	10	9	9	4	9	7
