Transaction ID,Date,Product ID,Product Category,Product Sub-Category,Quantity Sold,Price per Unit,Discount Applied,Payment Method,Customer ID,Age Group,Gender,Location,Customer Segment,Total Spend,Average Transaction Value,Purchase Frequency,Product Name,Cost per Unit,Supplier ID,Stock Level,Supplier Name,Supplier Location,Lead Time (Days),Total Sales
61d37616-afa3-4fe4-b7e6-cc53ca65068a,2024-08-22,2be889a6-84ee-4dd7-93b3-83fbae77ae18,Accessories,T-Shirts,1,20.66,24.39,Gift Card,d468a4b2-248c-4043-afad-99e5bfe9e416,26-35,Other,Port Jonathan,First-time Buyer,562.62,95.25,15,Shirt,44.27,afa0064b-3af0-4c21-ba11-db10d4c2980c,359,"Burke, Sherman and Torres",Annahaven,19,15.62
b8574d0d-867b-43b6-aebd-40ac2c8f2996,2024-03-15,d15ffe52-f06b-4fbf-b55b-076541f072e9,Home Decor,Cushions,7,47.78,12.04,Credit Card,ff03d93e-42ce-4646-b241-e5edb14382de,36-45,Other,East Patricia,Returning Customer,102.16,400.66,11,Cushion,44.54,0345da6a-a5c2-401d-9645-1d9efb5f23c9,388,Estes-Carlson,Juliaborough,24,294.19
3345c829-901e-4845-9416-ce36e3e5cb74,2024-01-18,acf0a06a-51ce-4aae-b337-2bc440faafe6,Apparel,Cushions,9,92.6,5.33,Debit Card,56a4656a-5a99-41df-8fc0-2776d505e05e,46-55,Other,Mccalltown,First-time Buyer,179.69,51.87,11,Cushion,45.97,fcfde7d9-1a4f-499b-818b-3d5196d6dd41,461,"Reed, Williams and Fernandez",North Randalltown,28,788.98
8cf82bef-a99c-4f92-bdb0-157244540057,2024-06-10,6d7cae24-d0ae-4a1b-8fbe-302eb76d8c1d,Accessories,Bags,4,89.8,25.32,Gift Card,10ac5858-2b59-42fb-912d-61f747b40bf1,36-45,Other,West Michaelmouth,First-time Buyer,833.85,53.21,7,Bag,48.87,fe8e9884-df38-435e-a1aa-31ffae0f7967,93,"Davis, Garcia and Morris",Port Stephanie,3,268.25
ee846fa6-f01a-43be-9c40-33b71f6c1a40,2024-01-21,733fefcd-6c9a-4019-9879-d8fe9afd7939,Accessories,T-Shirts,1,53.85,24.2,Credit Card,022ee170-6332-4ac4-aa8e-12b8b8542953,36-45,Female,East Carlosport,Returning Customer,699.68,470.68,14,Shirt,15.51,90c46b34-6400-4794-ae11-25a2983de7e2,465,"Johnson, Schultz and Hart",South Amandachester,10,40.82
ecddb9d2-ca44-4b38-895a-0ff5b057e8e4,2024-01-26,73192994-a199-448e-884a-13c304cf5145,Apparel,Cushions,6,73.33,0.71,Credit Card,8d9f4f7c-8567-4d21-9892-c415e8d5e815,46-55,Male,Deanfurt,Loyalty Program,512.56,86.89,17,Shoe,8.91,938b23af-1ef9-4427-8085-accac4be16f1,142,Scott-Grant,Martinview,21,436.86
6d357276-4fc1-4317-b2da-6c581575a16f,2024-04-03,2ed3b7b3-e3b6-4297-89d2-23e69776c6f8,Accessories,T-Shirts,8,34.4,21.85,Debit Card,63fd1f09-fd8f-4f41-82bc-1d477a3c0590,46-55,Female,South Jamesmouth,First-time Buyer,249.13,265.23,16,Cushion,14.8,c70216ac-e025-4b66-9003-ba680473105d,477,Lopez-Martinez,Michelleview,22,215.07
4501ca77-4523-46c6-9175-14fb45c9ba13,2024-06-06,0aac1ef7-c5a9-46fa-a248-ca647dd61951,Home Decor,T-Shirts,5,82.53,4.0,Debit Card,30e9f288-d3b9-4dd6-ac70-6b2761b63e9e,36-45,Other,Justinshire,Loyalty Program,109.1,298.36,16,Shoe,8.32,890c7ab3-d5c6-4f4a-8227-e68188424d42,39,"Blankenship, Sanchez and Miller",Garnerton,9,396.14
9bbdac87-2488-4dfc-a3d1-da065662b68b,2024-06-15,8e20802b-0493-44a1-9488-37054fa01c51,Footwear,Bags,6,82.44,28.09,Gift Card,ab83d785-ba48-4a2f-afd6-4f78cc0fb0f4,18-25,Male,Kevinshire,First-time Buyer,917.0,240.41,3,Bag,6.79,6ad2d7ef-2311-4fb3-a00e-1c0c422c075e,232,"Norman, Ferrell and Ford",New Bobbychester,4,355.7
e31fab34-03af-4bf7-97d7-f409fdf68376,2024-04-28,da34d9e9-44a1-42f6-8399-1c398c5ddfd3,Accessories,Shoes,6,62.74,27.3,Credit Card,54b44033-964a-4b8f-b51a-6266e9cfda0c,18-25,Other,Rileytown,Returning Customer,197.02,356.92,14,Bag,46.31,b7072eb2-5b82-4f44-9b78-d2009f8e93c6,183,Gibson-Porter,Susanmouth,16,273.67
c821421d-4345-41f9-9e73-10ad01aa0ba9,2024-02-27,e5a3c19e-399b-49da-a3c4-9ac4cdf67a86,Accessories,T-Shirts,1,76.87,24.0,PayPal,49794730-4935-40fc-ab80-ccb231fc0ca3,26-35,Male,Bruceside,First-time Buyer,354.79,340.44,8,Shoe,37.92,0400ea99-86ff-4742-9ada-010a3bcbd374,488,Kirby-Brown,North Anna,25,58.42
ab552ec8-2908-4a29-8e5d-9ea475bb832d,2024-02-08,7e873a01-2ffe-4478-80d8-26a4ff7e8d2b,Apparel,Bags,7,48.52,6.69,PayPal,ba90a7b0-a6c3-4730-b5ce-1a670bb1bf64,36-45,Female,South Charlesbury,Returning Customer,173.76,455.57,3,Cushion,22.32,2cfe9f0e-d39c-463d-b840-d0b21f7bdf1f,30,"Martin, Walsh and Ramirez",North Michaelbury,19,316.92
